0.125 1.0 ten
0.5 0.8260869565217391 ten
1.0 0.6521739130434783 ten
2.0 0.43478260869565216 ten
4.0 0.34782608695652173 ten
8.0 0.17391304347826086 ten
16.0 0.043478260869565216 ten
20.0 0.043478260869565216 ten
21.0 0.043478260869565216 ten
21.5 0.043478260869565216 ten
22.0 0.043478260869565216 ten
22.5 0.043478260869565216 ten
23.0 0.043478260869565216 ten
24.0 0.043478260869565216 ten
28.0 0.043478260869565216 ten
31.0 0.08695652173913043 ten
32.0 0.08695652173913043 ten
34.0 0.08695652173913043 ten
36.0 0.0 ten
40.0 0.0 ten
64.0 0.0 ten
128.0 0.0 ten
0.125 1.0 twentyFive
0.5 0.9565217391304348 twentyFive
1.0 0.6521739130434783 twentyFive
2.0 0.391304347826087 twentyFive
4.0 0.2608695652173913 twentyFive
8.0 0.08695652173913043 twentyFive
16.0 0.043478260869565216 twentyFive
20.0 0.043478260869565216 twentyFive
21.0 0.043478260869565216 twentyFive
21.5 0.043478260869565216 twentyFive
22.0 0.043478260869565216 twentyFive
22.5 0.043478260869565216 twentyFive
23.0 0.043478260869565216 twentyFive
24.0 0.043478260869565216 twentyFive
28.0 0.043478260869565216 twentyFive
31.0 0.0 twentyFive
32.0 0.0 twentyFive
34.0 0.0 twentyFive
36.0 0.0 twentyFive
40.0 0.0 twentyFive
64.0 0.0 twentyFive
128.0 0.0 twentyFive
